Company,Description,Headquarters,Website
AB-Biotics,Biotechnology company focused on probiotics and functional ingredients,Barcelona, Spain,https://www.ab-biotics.com/
ACTA,Academic Center for Dentistry Amsterdam,Amsterdam, Netherlands,https://www.acta.nl/
Adiso Therapeutics, Inc.,Biotech company developing microbiome-based therapies,San Diego, USA,https://www.adisotx.com/
ADM,Global nutrition company focusing on microbiome research,Chicago, USA,https://www.adm.com/
Alliance For Education on Probiotics,Non-profit organization promoting probiotic education,London, UK,https://www.probiotictraining.com/
ALPACA Bio,Biotech company developing microbiome-based cancer therapies,Zurich, Switzerland,https://www.alpaca.bio/
AMCAN,Microbiome research and product development company,Beijing, China,https://www.amcanbiotech.com/
AMR Action Fund,Investment fund supporting antibiotic development,Boston, USA,https://www.amractionfund.com/
Amsterdam UMC,Academic medical center with microbiome research focus,Amsterdam, Netherlands,https://www.amsterdamumc.org/
Animalcare Group,Animal health company with microbiome focus,York, UK,https://www.animalcaregroup.com/
APC Microbiome Ireland,Research center focused on gut microbiome,Cork, Ireland,https://www.ucc.ie/en/apc/
Apersy,Microbiome data analysis and visualization platform,Paris, France,https://www.apersy.com/
Associazione Parkinson trento,Patient organization supporting microbiome research,Trento, Italy,https://www.parkinsontrento.it/
Atlantia Clinical Trials,Clinical research organization specializing in microbiome,Cork, Ireland,https://atlantiatrials.com/
Azitra,Clinical-stage biotech developing microbiome-based dermatology treatments,Farmington, USA,https://www.azitrainc.com/
Bac3gel,Biotech company developing microbiome-based wound care products,Oslo, Norway,https://www.bac3gel.com/
Barry Callebaut Belgium NV,Chocolate manufacturer with microbiome research,Wieze, Belgium,https://www.barry-callebaut.com/
Baseclear,Microbiome sequencing and analysis services,Leiden, Netherlands,https://www.baseclear.com/
Bayer,Pharmaceutical company with microbiome research division,Leverkusen, Germany,https://www.bayer.com/
Bayer Consumer Health,Consumer health division with probiotic products,Whippany, USA,https://www.bayer.com/
Bill & Melinda Gates Foundation,Foundation funding microbiome research,Seattle, USA,https://www.gatesfoundation.org/
Bioaster,Microbiome research and technology institute,Lyon, France,https://www.bioaster.org/
Biocodex,Pharmaceutical company specializing in microbiome-based therapies,Gentilly, France,https://www.biocodex.com/
BioCorteX Ltd,AI-driven microbiome drug discovery company,London, UK,https://www.biocortex.com/
BioGaia Pharma AB,Probiotics and microbiome research company,Stockholm, Sweden,https://www.biogaia.com/
BioLyo,Microbiome research and development company,Lyon, France,https://www.biolyo.com/
Biomatz Inc.,Biotech company developing microbiome-based materials,San Diego, USA,https://www.biomatz.com/
BioMe Inc.,Microbiome diagnostics and therapeutics company,Seoul, South Korea,https://www.biomeinc.co.kr/
Biomica Ltd,Microbiome-based immuno-oncology company,Rehovot, Israel,https://www.biomicamed.com/
Biose Industrie,Probiotics manufacturer for animal health,Saint-Germain-Laprade, France,https://www.biose.com/
Biowave W,Microbiome research and development company,Warsaw, Poland,https://www.biowave.pl/
Boğaziçi University,University with microbiome research center,Istanbul, Turkey,https://www.boun.edu.tr/
Buck Institute,Research institute studying microbiome and aging,Novato, USA,https://www.buckinstitute.org/
Caelus Pharmaceuticals,Biotech company developing microbiome-based therapies,Leiden, Netherlands,https://www.caeluspharma.com/
Carb-X,Global partnership supporting antibiotic development,Boston, USA,https://carb-x.org/
CHAIN Biotech,Microbiome engineering and synthetic biology company,Cambridge, UK,https://www.chainbiotech.com/
Charité Universitätsmedizin Berlin,University hospital with microbiome research,Berlin, Germany,https://www.charite.de/
Cmbio,Microbiome research and development company,Seoul, South Korea,https://www.cmbio.co.kr/
Concerto Biosciences,Microbiome engineering company,Cambridge, USA,https://www.concertobio.com/
Concordance Therapeutics,Microbiome-based drug discovery company,Boston, USA,https://www.concordancetx.com/
Corundum Systems Biology,Microbiome data analysis company,Berkeley, USA,https://www.corundum.bio/
CRCHUM,Research center with microbiome focus,Montreal, Canada,https://www.crchum.ch/
Cryptobiotix,Microbiome research and development company,Brussels, Belgium,https://www.cryptobiotix.com/
CSIR-IGIB,Genomics and microbiome research institute,New Delhi, India,https://www.igib.res.in/
Cutis Skin Health,Microbiome-based skincare company,London, UK,https://www.cutisskinhealth.com/
Dalhousie University,University with microbiome research center,Halifax, Canada,https://www.dal.ca/
Dankook University,University with microbiome research center,Cheonan, South Korea,https://www.dankook.ac.kr/
Danone,Food company with microbiome research,Paris, France,https://www.danone.com/
Danone Global Research and Innovation Center,Microbiome research center,Palaiseau, France,https://www.danone.com/
De La Prym - Single Family Office,Investment firm supporting microbiome startups,Brussels, Belgium,https://www.delaprym.com/
University of Szeged,University with microbiome research center,Szeged, Hungary,https://www.u-szeged.hu/
